Opponent,W,L,T,Pct,PF,PA,Last Meeting,Result
Arizona Cardinals,57,29,6,.652,1756,1222,12/05/2021,L 33-22
Atlanta Falcons,15,14,0,.517,569,523,11/20/2022,L 27-24
Baltimore Ravens,4,3,0,.571,110,117,11/21/2021,L 16-13
Buffalo Bills,8,6,0,.571,294,229,12/24/2022,L 35-13
Carolina Panthers,8,4,0,.667,256,223,11/09/2023,W 16-13
Cincinnati Bengals,6,6,0,.500,234,212,09/19/2021,W 20-17
Cleveland Browns,7,10,0,.412,303,408,09/26/2021,L 26-6
Dallas Cowboys,12,16,0,.429,553,634,10/30/2022,L 49-29
Denver Broncos,8,9,0,.471,335,295,10/01/2023,L 31-28
Detroit Lions,104,77,5,.573,3647,3380,01/01/2023,L 41-10
Green Bay Packers,95,106,6,.473,3558,3703,09/10/2023,L 38-20
Houston Texans,2,4,0,.333,108,118,09/25/2022,W 23-20
Indianapolis Colts,19,25,0,.432,900,946,10/04/2020,L 19-11
Jacksonville Jaguars,5,3,0,.625,210,133,12/27/2020,W 41-17
Kansas City Chiefs,7,7,0,.500,198,291,09/24/2023,L 41-10
Las Vegas Raiders,9,8,0,.529,327,294,10/22/2023,W 30-12
Los Angeles Chargers,7,7,0,.500,233,279,10/29/2023,L 30-13
Los Angeles Rams,54,39,3,.578,2185,1928,09/12/2021,L 34-14
Miami Dolphins,4,10,0,.286,268,370,11/06/2022,L 35-32
Minnesota Vikings,57,66,2,.464,2422,2628,10/15/2023,L 19-13
New England Patriots,5,10,0,.333,283,350,10/24/2022,W 33-14
New Orleans Saints,15,19,0,.441,689,686,11/05/2023,L 24-17
New York Giants,36,25,2,.587,1115,934,10/02/2022,L 20-12
New York Jets,9,4,0,.692,255,209,11/27/2022,L 31-10
Philadelphia Eagles,29,17,1,.628,978,752,12/18/2022,L 25-20
Pittsburgh Steelers,19,8,1,.696,637,436,11/08/2021,L 29-27
San Francisco 49ers,33,35,1,.486,1362,1533,09/11/2022,W 19-10
Seattle Seahawks,8,11,0,.421,401,422,12/26/2021,W 25-24
Tampa Bay Buccaneers,40,22,0,.645,1319,1046,09/17/2023,L 27-17
Tennessee Titans,6,7,0,.462,276,296,11/08/2020,L 24-17
Washington Commanders,25,27,1,.481,1148,981,10/05/2023,W 40-20